Item,Qty,Reference(s),Value,PN,DK 07/01/2021
1,6,"C1, C2, C6, C10, C11, C21",10uF/25V,CL31A106KAHNNNE,‎1276-1075-1-ND‎
2,15,"C3, C4, C5, C7, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23",100nF/50V,CL10B104KB8NFNC,‎1276-1934-1-ND‎
3,2,"C8, C9",20pF,06035A200JAT2A,‎478-7912-1-ND‎
4,1,D1,BAT760,PMEG3020EJ,1727-3874-1-ND‎
5,1,D2,PRTR5V0U2X,"PRTR5V0U2X,215",‎1727-3884-1-ND‎
6,2,"D3, D4",LED,598-8070-107F,‎350-2035-1-ND‎
7,1,D5,WS2812,COM-11821,‎1568-1800-ND‎
8,1,J1,USB4105-GF-A,USB4105-GF-A,2073-USB4105-GF-ACT-ND‎
9,2,"L1, L2",MPZ1608S102ATA00,MPZ1608S102ATA00,‎445-8694-1-ND‎
10,2,"Q1, Q2",SS8050-G,SS8050-G,641-1790-1-ND‎
11,1,R1,1M,CRGCQ0603J1M0,‎A130109CT-ND‎
12,2,"R2, R3",5.1k,CRCW06035K10FKEBC,‎541-CRCW06035K10FKEBCCT-ND‎
13,6,"R4, R5, R13, R14, R16, R21",10k,CRCW060310K0FKEBC,541-CRCW060310K0FKEBCCT-ND‎
14,9,"R6, R7, R8, R9, R10, R11, R12, R18, R23",1k,RMCF0603FT1K00,‎RMCF0603FT1K00CT-ND‎
15,3,"R15, R19, R20",2.2k,CRCW06032K20FKEB,‎541-CRCW06032K20FKEBCT-ND‎
16,1,R17,12k 1%,RMCF0603FT12K0,‎RMCF0603FT12K0CT-ND‎
17,1,R22,150,RMCF0603FT150R,‎RMCF0603FT150RCT-ND‎
18,2,"SW1, SW2",BOOT/RST,B3U-1000P,‎SW1020CT-ND‎
19,1,U1,ESP32-WROOM-32,ESP32-WROOM-32E,‎1965-ESP32-WROOM-32E(4MB)CT-ND‎
20,1,U2,FT2232HL,FT2232HL-REEL,768-1024-1-ND‎
21,1,U3,LD1117S33TR_SOT223,LD1117S33TR,‎497-1242-1-ND‎
22,1,U4,93LC46B,93LC46B,93LC46BT-I/SNCT-ND‎
23,1,Y1,12MHz,403C11A12M00000,‎CTX1430CT-ND‎
